market,state,district,latitude,longitude,commodity
Bareilly,Uttar Pradesh,Bareilly,28.3896,79.44014,Onion
Bargarh,Odisha,Bargarh,21.3435,83.6357,Onion
Nagpur,Maharashtra,Nagpur,21.1458,79.0882,Onion
Agra,Uttar Pradesh,Agra,27.1767,78.0081,Potato
Farrukhabad,Uttar Pradesh,Farrukhabad,27.3826,79.5830,Potato
Aligarh,Uttar Pradesh,Aligarh,27.8974,78.0880,Potato
Hassan,Karnataka,Hassan,13.0072,76.0962,Potato
Kolar,Karnataka,Kolar,13.1367,78.1291,Tomato
Nashik,Maharashtra,Nashik,19.9975,73.7898,Tomato
Madanapalle,Andhra Pradesh,Chittoor,13.5560,78.5010,Tomato
Khanna,Punjab,Ludhiana,30.7071,76.2168,Wheat
Indore,Madhya Pradesh,Indore,22.7196,75.8577,Wheat
Kota,Rajasthan,Kota,25.2138,75.8648,Wheat
Burdwan,West Bengal,Purba Bardhaman,23.2324,87.8615,Rice
Karnal,Haryana,Karnal,29.6857,76.9905,Rice
Guntur,Andhra Pradesh,Guntur,16.3067,80.4365,Rice
